,Unnamed: 0.1,layer1,layer2,layer3,svm,dt,rf,nb,kn,logistic,ae_svm,ae_dt,ae_rf,ae_nb,ae_kn,ae_logistic,method
0,,42,26,13,0.920162285760538,0.905334992614177,0.949073230943564,0.8573524352981651,0.909124021125478,0.917749246241324,0.872472613769657,0.875837228596289,0.922135211153605,0.809971873166191,0.8920050992533242,0.8704900949027701,AE
1,,42,26,13,0.8971133158020559,0.8920929954578051,0.941608893138896,0.840704438600685,0.8860267750418359,0.881305283289505,0.853444497569527,0.861571460369494,0.898743398288108,0.8136900787146641,0.887290313442198,0.8589130608016579,DAE
2,,31,18,10,0.9003247589061171,0.8981960038812649,0.9515435949226716,0.8386007643715716,0.8902453513930969,0.9014435929424344,0.8396948454424841,0.8490663181449137,0.8866611220024159,0.7914166617160736,0.8670963781461019,0.8494772173706411,AE
3,,31,18,10,0.9003751000348588,0.9098458849464108,0.9585106957516484,0.8503478512757819,0.888682682063443,0.9104988732269896,0.8513052401082096,0.8625975186445338,0.8943631891358461,0.8000873924164985,0.886419316669858,0.8499943538607319,DAE
4,,31,18,3,0.9032544836116264,0.8822665429808288,0.9459647495361779,0.8396142547928261,0.8780728200371057,0.8919681508967222,0.8243081323438466,0.8233804885590599,0.8591720779220781,0.8018514223871367,0.8376816635745208,0.8318838899196043,AE
5,,31,18,3,0.8960072665429809,0.9071583178726036,0.9504097093382808,0.8431508967223252,0.8804112554112554,0.8930310760667903,0.8163651824366109,0.8167130488559059,0.8411023500309214,0.8086541434755721,0.8316713048855906,0.8134856215213359,DAE
6,,50,40,20,0.884787128881617,0.8961915474851359,0.9433893815221148,0.8255567080089015,0.8737454896060071,0.8871634552174485,0.8699448283250308,0.8663925126242337,0.9181384794433164,0.8426365535476897,0.902210275663594,0.8737235767606971,AE
7,,50,40,20,0.9111821055048336,0.9058428711696,0.9440430655900268,0.8518179286897138,0.8984348667145391,0.9000224707026001,0.8972600397633738,0.8804241100869029,0.9204659251334808,0.8349404770627861,0.9119588102251464,0.8960436908617514,DAE
8,,50,40,20,0.9034058014413768,0.8860923119921744,0.9491425605398176,0.8503623405402169,0.8974017288534867,0.894037851110978,0.8924507396538299,0.9003862969395701,0.933595855542912,0.8274340699926135,0.9079874628176718,0.8945718791798927,AE
9,,50,40,20,0.9162062250060704,0.8964984960282262,0.9460131120570467,0.8357078082646594,0.8977968176254589,0.9014341002680886,0.8896030208276553,0.8832551201938563,0.9154852105312712,0.8202394461815966,0.8982601499511891,0.8945658799102076,DAE
10,,50,40,30,0.8922514267341853,0.8870669560324732,0.9495317900490314,0.8412105136243067,0.8735732658146451,0.8920102885620127,0.8695844385499558,0.8728297564504459,0.9192388071698416,0.7863113897596656,0.9020677598263804,0.8762056908608632,AE
11,,50,40,20,0.8995926298553983,0.8977629164940522,0.9455031465151604,0.8445927284922372,0.8832238464421693,0.9042778797025112,0.8851275374326805,0.8801513089108519,0.9251099800753586,0.8319770767986427,0.8997899035331716,0.8910309522400426,DAE
12,,42,27,9,0.9049209660088198,0.9060343947372259,0.9524653451385952,0.8599316383933564,0.8896295539964313,0.917793466264082,0.8652289335881092,0.8760277336133924,0.9211434767176704,0.7831390910726354,0.9028861628523224,0.8711899100991389,AE
13,,42,27,11,0.8951514794757083,0.8969762969939564,0.9509359547916175,0.8588709677419355,0.8780609842241581,0.8926006592889099,0.8621183580566674,0.8525625932030453,0.9098873714779061,0.8071383721842869,0.8791597990738561,0.8634624440781729,AE
